knots	drag
70.299	0.166
70.399	0.166
70.499	0.166
70.599	0.167
70.699	0.167
70.799	0.168
70.899	0.168
70.999	0.169
71.099	0.169
71.199	0.170
71.299	0.170
71.399	0.171
71.499	0.171
71.599	0.172
71.699	0.172
71.799	0.172
71.899	0.173
71.999	0.173
72.099	0.174
72.199	0.174
72.299	0.175
72.399	0.175
72.499	0.176
72.599	0.176
72.699	0.177
72.799	0.177
72.899	0.178
72.999	0.178
73.099	0.179
73.199	0.179
73.299	0.180
73.399	0.180
73.499	0.181
73.599	0.181
73.699	0.181
73.799	0.182
73.899	0.182
73.999	0.183
74.099	0.183
74.199	0.184
74.299	0.184
74.399	0.185
74.499	0.185
74.599	0.186
74.699	0.186
74.799	0.187
74.899	0.187
74.999	0.188
75.099	0.188
75.199	0.189
75.299	0.189
75.399	0.190
75.499	0.190
75.599	0.191
75.699	0.191
75.799	0.192
75.899	0.192
75.999	0.193
76.099	0.193
76.199	0.194
76.299	0.194
76.399	0.195
76.499	0.195
76.599	0.195
76.699	0.196
76.799	0.196
76.899	0.197
76.999	0.197
77.099	0.198
77.199	0.198
77.299	0.199
77.399	0.199
77.499	0.200
77.599	0.200
77.699	0.201
77.799	0.201
77.899	0.202
77.999	0.202
78.099	0.203
78.199	0.203
78.299	0.204
78.399	0.204
78.499	0.205
78.599	0.205
78.699	0.206
78.799	0.206
78.899	0.207
78.999	0.207
79.099	0.208
79.199	0.208
79.299	0.209
79.399	0.209
79.499	0.210
79.599	0.211
79.699	0.211
79.799	0.212
79.899	0.212
79.999	0.213
80.099	0.213
80.199	0.214
80.299	0.214
80.399	0.215
80.499	0.215
80.599	0.216
80.699	0.216
80.799	0.217
80.899	0.217
80.999	0.218
81.099	0.218
81.199	0.219
81.299	0.219
81.399	0.220
81.499	0.220
81.599	0.221
81.699	0.221
81.799	0.222
81.899	0.222
81.999	0.223
82.099	0.223
82.199	0.224
82.299	0.224
82.399	0.225
82.499	0.225
82.599	0.226
82.699	0.227
82.799	0.227
82.899	0.228
82.999	0.228
83.099	0.229
83.199	0.229
83.299	0.230
83.399	0.230
83.499	0.231
83.599	0.231
83.699	0.232
83.799	0.232
83.899	0.233
83.999	0.233
84.099	0.234
84.199	0.235
84.299	0.235
84.399	0.236
84.499	0.236
84.599	0.237
84.699	0.237
84.799	0.238
84.899	0.238
84.999	0.239
85.099	0.239
85.199	0.240
85.299	0.240
85.399	0.241
85.499	0.241
85.599	0.242
85.699	0.243
85.799	0.243
85.899	0.244
85.999	0.244
86.099	0.245
86.199	0.245
86.299	0.246
86.399	0.246
86.499	0.247
86.599	0.247
86.699	0.248
86.799	0.249
86.899	0.249
86.999	0.250
87.099	0.250
87.199	0.251
87.299	0.251
87.399	0.252
87.499	0.252
87.599	0.253
87.699	0.254
87.799	0.254
87.899	0.255
87.999	0.255
88.099	0.256
88.199	0.256
88.299	0.257
88.399	0.257
88.499	0.258
88.599	0.259
88.699	0.259
88.799	0.260
88.899	0.260
88.999	0.261
89.099	0.261
