aoa	lift	drag	lvsd
22.3	2.571	0.444	5.787
22.4	2.584	0.448	5.772
22.5	2.599	0.452	5.756
22.6	2.614	0.456	5.739
22.7	2.630	0.460	5.722
22.8	2.646	0.464	5.705
22.9	2.661	0.468	5.688
23.0	2.676	0.472	5.672
23.1	2.691	0.476	5.656
23.2	2.705	0.480	5.640
23.3	2.719	0.484	5.624
23.4	2.733	0.487	5.609
23.5	2.746	0.491	5.593
23.6	2.759	0.495	5.579
23.7	2.772	0.498	5.564
23.8	2.784	0.502	5.550
23.9	2.796	0.505	5.536
24.0	2.807	0.508	5.522
24.1	2.818	0.512	5.509
24.2	2.828	0.515	5.496
24.3	2.838	0.518	5.484
24.4	2.847	0.520	5.472
24.5	2.856	0.523	5.460
24.6	2.864	0.526	5.449
24.7	2.872	0.528	5.438
24.8	2.880	0.531	5.426
24.9	2.887	0.533	5.415
