knots	drag
53.000	0.102
53.100	0.102
53.200	0.102
53.300	0.103
53.400	0.103
53.500	0.103
53.600	0.103
53.700	0.103
53.800	0.104
53.900	0.104
54.000	0.104
54.100	0.104
54.200	0.105
54.300	0.105
54.400	0.105
54.500	0.105
54.600	0.105
54.700	0.106
54.800	0.106
54.900	0.106
55.000	0.106
55.100	0.107
55.200	0.107
55.300	0.107
55.400	0.107
55.500	0.108
55.600	0.108
55.700	0.108
55.800	0.108
55.900	0.108
56.000	0.109
56.100	0.109
56.200	0.109
56.300	0.109
56.400	0.110
56.500	0.110
56.600	0.110
56.700	0.110
56.800	0.111
56.900	0.111
57.000	0.111
57.100	0.111
57.200	0.111
57.300	0.112
57.400	0.112
57.500	0.112
57.600	0.112
57.700	0.113
57.800	0.113
57.900	0.113
58.000	0.113
58.100	0.114
58.200	0.114
58.300	0.114
58.400	0.114
58.500	0.115
58.600	0.115
58.700	0.115
58.800	0.115
58.900	0.116
59.000	0.116
59.100	0.116
59.200	0.116
59.300	0.117
59.400	0.117
59.500	0.117
59.600	0.117
59.700	0.117
59.800	0.118
59.900	0.118
60.000	0.118
60.100	0.118
60.200	0.119
60.300	0.119
60.400	0.119
60.500	0.119
60.600	0.120
60.700	0.120
60.800	0.120
60.900	0.120
61.000	0.121
61.100	0.121
61.200	0.121
61.300	0.121
61.400	0.122
61.500	0.122
61.600	0.122
61.700	0.122
61.800	0.123
61.900	0.123
62.000	0.123
62.100	0.124
62.200	0.124
62.300	0.124
62.400	0.124
62.500	0.125
62.600	0.125
62.700	0.125
62.800	0.125
62.900	0.126
63.000	0.126
63.100	0.126
63.200	0.126
63.300	0.127
63.400	0.127
63.500	0.127
63.600	0.127
63.700	0.128
63.800	0.128
63.900	0.128
64.000	0.128
64.100	0.129
64.200	0.129
64.300	0.129
64.400	0.130
64.500	0.130
64.600	0.130
64.700	0.130
64.800	0.131
64.900	0.131
65.000	0.131
65.100	0.131
65.200	0.132
65.300	0.132
65.400	0.132
65.500	0.132
65.600	0.133
65.700	0.133
65.800	0.133
65.900	0.134
66.000	0.134
66.100	0.134
66.200	0.134
66.300	0.135
66.400	0.135
66.500	0.135
66.600	0.135
66.700	0.136
66.800	0.136
66.900	0.136
67.000	0.137
67.100	0.137
67.200	0.137
67.300	0.137
67.400	0.138
67.500	0.138
67.600	0.138
67.700	0.138
67.800	0.139
67.900	0.139
68.000	0.139
68.100	0.140
68.200	0.140
68.300	0.140
68.400	0.140
68.500	0.141
68.600	0.141
68.700	0.141
68.800	0.142
68.900	0.142
69.000	0.142
69.100	0.142
69.200	0.143
69.300	0.143
69.400	0.143
69.500	0.144
69.600	0.144
69.700	0.144
69.800	0.144
69.900	0.145
70.000	0.145
70.100	0.145
70.200	0.146
70.299	0.146
70.399	0.146
70.499	0.146
70.599	0.147
70.699	0.147
70.799	0.147
70.899	0.148
70.999	0.148
71.099	0.148
71.199	0.148
71.299	0.149
71.399	0.149
71.499	0.149
71.599	0.150
71.699	0.150
71.799	0.150
71.899	0.151
71.999	0.151
72.099	0.151
72.199	0.151
72.299	0.152
72.399	0.152
72.499	0.152
72.599	0.153
72.699	0.153
72.799	0.153
72.899	0.154
72.999	0.154
73.099	0.154
73.199	0.154
73.299	0.155
73.399	0.155
73.499	0.155
73.599	0.156
73.699	0.156
73.799	0.156
73.899	0.157
73.999	0.157
74.099	0.157
74.199	0.157
74.299	0.158
74.399	0.158
74.499	0.158
74.599	0.159
74.699	0.159
74.799	0.159
74.899	0.160
74.999	0.160
75.099	0.160
75.199	0.161
75.299	0.161
75.399	0.161
75.499	0.161
75.599	0.162
75.699	0.162
75.799	0.162
75.899	0.163
75.999	0.163
76.099	0.163
76.199	0.164
76.299	0.164
76.399	0.164
76.499	0.165
76.599	0.165
76.699	0.165
76.799	0.166
76.899	0.166
76.999	0.166
77.099	0.166
77.199	0.167
77.299	0.167
77.399	0.167
77.499	0.168
77.599	0.168
77.699	0.168
77.799	0.169
77.899	0.169
77.999	0.169
78.099	0.170
78.199	0.170
78.299	0.170
78.399	0.171
78.499	0.171
78.599	0.171
78.699	0.172
78.799	0.172
78.899	0.172
78.999	0.173
79.099	0.173
79.199	0.173
79.299	0.174
79.399	0.174
79.499	0.174
79.599	0.175
79.699	0.175
79.799	0.175
79.899	0.176
79.999	0.176
80.099	0.176
80.199	0.177
80.299	0.177
80.399	0.177
80.499	0.178
80.599	0.178
80.699	0.178
80.799	0.179
80.899	0.179
80.999	0.179
81.099	0.180
81.199	0.180
81.299	0.180
81.399	0.181
81.499	0.181
81.599	0.181
81.699	0.182
81.799	0.182
81.899	0.182
81.999	0.183
82.099	0.183
82.199	0.183
82.299	0.184
82.399	0.184
82.499	0.184
82.599	0.185
82.699	0.185
82.799	0.185
82.899	0.186
82.999	0.186
83.099	0.186
83.199	0.187
83.299	0.187
83.399	0.187
83.499	0.188
83.599	0.188
83.699	0.188
83.799	0.189
83.899	0.189
83.999	0.189
84.099	0.190
84.199	0.190
84.299	0.190
84.399	0.191
84.499	0.191
84.599	0.191
84.699	0.192
84.799	0.192
84.899	0.192
84.999	0.193
85.099	0.193
85.199	0.194
85.299	0.194
85.399	0.194
85.499	0.195
85.599	0.195
85.699	0.195
85.799	0.196
85.899	0.196
85.999	0.196
86.099	0.197
86.199	0.197
86.299	0.197
86.399	0.198
86.499	0.198
86.599	0.198
86.699	0.199
86.799	0.199
86.899	0.200
86.999	0.200
87.099	0.200
87.199	0.201
87.299	0.201
87.399	0.201
87.499	0.202
87.599	0.202
87.699	0.202
87.799	0.203
87.899	0.203
87.999	0.204
88.099	0.204
88.199	0.204
88.299	0.205
88.399	0.205
88.499	0.205
88.599	0.206
88.699	0.206
88.799	0.206
88.899	0.207
88.999	0.207
89.099	0.208
89.199	0.208
89.299	0.208
89.399	0.209
89.499	0.209
89.599	0.209
89.699	0.210
89.799	0.210
89.899	0.210
89.999	0.211
90.099	0.211
90.199	0.212
90.299	0.212
90.399	0.212
90.499	0.213
90.599	0.213
90.699	0.213
90.799	0.214
90.899	0.214
90.999	0.215
91.099	0.215
91.199	0.215
91.299	0.216
91.399	0.216
91.499	0.216
91.599	0.217
91.699	0.217
91.799	0.218
91.899	0.218
91.999	0.218
92.099	0.219
92.199	0.219
92.299	0.219
92.399	0.220
92.499	0.220
92.599	0.221
92.699	0.221
92.799	0.221
92.899	0.222
92.999	0.222
93.099	0.223
93.199	0.223
93.299	0.223
93.399	0.224
93.499	0.224
93.599	0.224
93.699	0.225
93.799	0.225
93.899	0.226
93.999	0.226
94.099	0.226
94.199	0.227
94.299	0.227
94.399	0.228
94.499	0.228
94.599	0.228
94.699	0.229
